Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45
2015-07-11,3517,4922,85134,4998,3633,1755018,40047,19891,50955,62952,83834,32755,80573,103778,81829,30905,44185,31480,7538,43402,238901,8385,10018,53360,175816,42887,19154,22580,38460,39916,24371,39443,63061,111711,23966,469,3328,1357,1930,602,25490,1387,19359,14897,2060
2015-07-12,4022,5816,91121,4761,3749,1774274,46175,17247,61030,71450,91665,40115,90276,109797,88521,36580,63525,29507,9502,89585,292028,8455,7778,64841,190361,46284,19320,15353,41778,56455,24234,45909,63687,105332,21950,470,3546,1458,2076,624,22859,1849,20190,15400,4152
2015-07-13,4197,6698,125295,5348,4467,1887773,47335,17275,74103,101747,82803,35667,92562,119089,83688,34686,63239,23793,9328,66129,318765,7755,8993,61196,176426,44491,18052,13906,38700,49844,19962,42186,52388,145554,20772,662,4449,1846,2766,1522,25308,3329,21232,13199,2653
2015-07-14,4028,6400,129756,5642,4273,1911933,45806,16398,83747,84691,76610,39624,95677,108263,78652,31232,58400,27977,8813,52052,278638,7584,8191,51853,180875,52748,18046,26261,40542,46814,19922,37349,47710,94628,18568,640,4625,2353,3127,1780,23703,4367,22534,12660,1961
2015-07-15,4606,6616,138350,5611,4397,1888821,41302,16098,82192,83729,80092,34014,87422,105568,75113,26362,52309,20428,11566,44620,287676,8380,8068,50678,187282,52890,17413,18501,45146,44919,18728,37005,51437,81314,19039,795,4913,2260,3008,1803,22204,3307,21821,12351,1544
2015-07-16,4101,6560,174685,5359,4277,1858163,39362,15083,77509,78201,78944,33200,84307,168030,74976,32664,54198,20271,9217,47359,459659,8979,8540,49270,414442,44852,16327,14147,44776,41968,21203,39197,55818,93522,20763,835,4924,2228,3103,1787,22457,3597,20188,12256,1610
2015-07-17,3903,6070,161607,5738,4536,1800353,33731,13846,70103,71067,74561,35972,84375,110118,72689,27525,50971,26284,7907,47292,423531,8762,7300,57192,267673,41421,16213,13123,38673,41847,22101,44611,67911,96970,21684,613,4289,1819,2708,1466,23557,4990,22480,12576,1400
2015-07-18,3385,6439,139497,4882,3784,1726455,29423,11544,59043,59979,70725,35224,76703,94349,72815,30032,47999,25275,8475,46707,438591,9428,8293,55366,225425,40124,17357,12253,42633,42679,22379,40587,87449,139468,21311,520,3628,1435,2043,618,23110,5017,21550,13791,1456
2015-07-19,3701,6603,132931,5050,4341,1734316,31555,12782,60497,66264,80825,41085,82042,97700,74877,29470,67487,23469,11100,66869,485586,11791,7924,60572,236580,44880,17526,14469,45695,57363,21642,41204,71865,110851,20815,444,3287,1580,1750,555,26836,5196,21817,15544,1545
2015-07-20,3892,7122,131919,5599,4494,1844000,36645,13877,87788,75637,99914,35816,84264,102510,74047,23882,60715,20955,9657,81112,491766,23256,7414,57389,212124,45807,18595,16231,42023,49220,20130,39848,62373,101476,21073,673,4939,2104,3006,1690,25456,5329,19986,14284,1742
2015-07-21,4045,7153,182204,5286,4329,1858202,36262,14764,83005,78295,78754,34916,80542,102412,74510,22760,58685,20004,8895,52592,479243,41030,7526,49654,171628,48590,19591,14958,39721,44503,24248,55427,50630,89858,33125,635,4247,1924,2773,1691,24358,4904,23113,13578,1938
2015-07-22,3926,7067,179310,5482,4240,1863360,36415,14708,79609,90455,74159,34627,79364,96486,71107,27027,59053,17734,10381,43748,416641,36862,8482,47775,177188,45891,19561,14951,43397,52615,19458,47023,49387,101906,21925,646,4345,2158,2856,1700,23530,4509,35312,13694,1775
2015-07-23,3738,6666,169661,5092,3841,1845630,36580,13709,73940,86054,66305,32497,75303,97503,66272,22624,54962,18830,10371,41296,406622,41576,12391,46433,158168,43807,23044,14411,41052,46181,19597,39481,46849,102773,18143,774,4685,2136,2901,1560,21015,3989,20319,13040,1746
2015-07-24,7219,6422,163066,5190,4280,1795294,29852,13337,65621,69985,62295,27147,70751,90540,58591,20292,56420,16910,8179,41843,406919,26020,11416,45706,344403,39797,20074,12860,37333,38651,17495,33610,51051,84423,17208,648,4379,1975,2761,1531,18944,3423,17696,10549,1841
2015-07-25,3283,6378,111936,4797,3929,1731828,25640,10141,59718,106836,69504,28690,58829,77765,52720,23045,48377,22770,8568,43704,426950,23168,7550,47582,174393,36247,18825,10780,41174,39813,17363,39375,47814,91127,19252,463,3515,1561,1946,609,19671,3176,16141,10902,1391
2015-07-26,3556,6434,113950,5180,3852,1757379,29302,11464,80748,78935,64628,34653,67531,92572,56756,23524,51223,19200,21418,51801,483184,24516,8747,64661,195466,43556,19300,11809,47800,45487,20695,37901,47638,93925,16702,426,3972,1433,1940,621,20634,3030,20693,11906,1434
2015-07-27,3882,6991,200671,6186,4480,1858363,33806,12976,72295,80633,63817,28682,69800,94994,59109,24004,52620,18733,11196,67107,493214,26023,7914,56697,212080,42645,17247,12262,43290,42492,19011,38636,41594,75011,18911,679,4722,1940,2869,1529,20678,3016,23830,12825,1525
2015-07-28,5309,6459,187121,5566,4592,1885165,33654,12541,72211,78861,64383,28273,68050,117128,58147,34048,56445,19853,9376,49898,418572,29515,7586,53797,176530,43663,17097,12185,38456,41202,24262,36857,41032,70134,18215,704,4736,2336,3058,1676,19744,3399,47639,11101,1329
2015-07-29,4035,6627,183725,5499,4252,1896709,33683,12642,79063,77344,60220,26428,64281,87443,58313,32642,56898,20086,8523,44896,368528,27316,7743,47688,156698,44504,19197,11173,41020,38426,16648,58818,47026,72061,18360,889,5314,2381,3295,1762,19548,3628,53508,10696,1279
2015-07-30,3919,7316,210975,5384,4045,1826844,32611,12097,69747,82448,59416,25231,63536,86385,59758,24451,55528,18331,8278,39440,338157,30405,7280,46538,152546,43021,17980,13430,41045,36995,15731,41425,43060,70044,17028,740,4529,2020,2810,1695,19117,4040,39967,10710,1167
2015-07-31,5622,7710,254853,5081,3649,1762439,30544,11378,55869,64772,61326,24318,63336,84478,55849,24782,51318,15774,10334,42766,336011,41066,6599,47609,147638,38223,16361,12479,35623,36931,14242,54566,43919,62257,18589,673,4307,1702,2669,1441,18381,3140,31777,10265,1177
2015-08-01,3307,7062,216713,4918,3738,1690045,24004,9418,47403,54600,57178,24598,54727,121864,47253,22951,45900,16451,9037,40790,331927,33079,8134,43682,177626,38493,17654,10647,38099,36329,12939,55039,46207,65076,15727,543,3726,1361,2145,610,17216,2801,19746,9501,954
2015-08-02,5502,5888,231756,4810,3817,1699454,26722,11468,51050,66145,57716,23828,62517,163067,53275,28432,55540,17637,10220,48254,372114,42706,9118,48436,187126,38106,21353,11607,43396,38426,13730,55881,44651,69303,14489,667,3912,1570,2109,650,17620,5012,19837,10659,971
2015-08-03,3532,6847,238140,4615,3791,1633685,27144,11258,57682,76588,68487,26750,71547,175603,59351,21816,50385,15392,9106,46643,419216,39535,9446,41597,155193,39069,16171,11257,35896,38616,15688,54685,48382,71358,19487,637,4535,1801,2752,1401,19918,4050,28862,11495,1157
2015-08-04,4022,7885,271276,5395,4250,1841565,33500,15432,75404,84075,81090,30435,82058,126459,68189,25350,58812,21136,18750,43368,368458,41039,8205,50203,149164,47070,19731,12456,48547,41689,17017,66124,58048,93485,24810,707,4841,2187,2896,1544,22459,4301,34545,13654,1562
2015-08-05,4241,8768,268274,5360,4440,1843995,34797,14612,73830,96038,86964,29319,80044,108676,64523,24072,60913,21294,14172,39041,342920,38138,6838,45946,145880,48358,18999,12023,52132,39433,17346,60844,53058,95317,22755,676,4930,2207,2881,1689,22214,4766,33481,17669,1325
2015-08-06,4305,7926,283868,5654,4298,1807848,35279,13782,69509,156548,75379,30246,88339,107540,71252,22472,52367,18402,9091,37481,437267,60782,6626,43566,148456,42229,19995,11799,67775,40490,23756,55124,53680,119131,22952,672,4527,2084,2799,1627,21385,4703,32956,13444,1628
2015-08-07,3956,7994,273762,4989,4072,1771039,31613,12889,59706,81001,74141,29356,97756,112467,66216,28437,54250,18791,7854,49138,358284,69298,7253,52845,155572,44918,25805,11852,48757,42078,20262,65311,56748,101705,20600,582,4073,1876,2453,1472,21490,4246,30218,12751,1304
2015-08-08,3673,7550,246967,4610,3840,1711833,28523,11498,52206,69841,71280,30596,77380,94230,63076,27485,49053,17223,8761,44758,327496,59935,6649,50655,159793,43077,20095,11779,46560,45193,19288,71165,60219,107611,22602,569,3681,1887,2087,595,21072,4327,21593,14296,1312
2015-08-09,8445,7587,249497,4634,3908,1729943,32373,13671,57047,82417,73657,33090,82067,103543,73314,48181,52306,19402,9707,62510,382294,59663,7022,53914,185244,58282,25886,13164,53031,59259,21238,67941,64142,118772,21779,477,3394,1807,2266,620,22472,7795,22421,16662,1569
2015-08-10,5612,6085,256733,5077,4139,1775327,32619,13462,68818,78083,71113,30047,84107,96387,69538,24879,51149,17219,8584,55597,381362,62532,7187,49455,157893,49601,20617,11343,38714,43483,19389,71521,54689,95621,29349,637,4342,2275,2662,1417,21659,5365,24580,14305,1620
2015-08-11,6160,5134,283944,5026,4110,1841313,35871,14492,83173,87796,75388,30119,93836,100047,70164,35755,56834,19379,9823,48241,341133,75138,7625,46439,153563,48494,20127,12603,42646,45343,48418,60037,52255,100984,21880,747,4727,2506,2780,1576,21989,4621,27520,13953,1628
2015-08-12,4276,5055,289704,5293,4185,1887047,36275,15652,94416,88452,78410,30615,84551,97377,73061,31302,53980,18980,8419,44811,319920,77347,7032,47399,142893,44622,20504,12224,37073,44213,27878,64854,57989,101907,22721,808,4871,2596,3209,1779,21257,4844,27773,13541,1591
2015-08-13,4188,5472,281551,5160,4281,1836523,35502,14731,88371,82592,81729,31346,85291,95936,71607,27856,65049,19005,9011,41756,315919,95113,7679,55207,137346,45369,24485,12703,49241,43268,27393,60620,56407,107865,22687,702,5141,2475,3209,1680,22241,3813,31735,13889,1478
2015-08-14,4155,6401,260997,60747,4014,1739086,31328,12938,69795,71104,82497,30572,91019,99922,68950,30073,55097,25046,8182,50370,318925,191631,10710,51697,145656,51936,20514,12833,45677,51801,25230,73084,73691,101562,27293,589,4535,2143,2641,1416,22311,4283,29174,13090,1445
2015-08-15,3890,5384,234831,40073,3964,1656096,27867,10990,53505,63413,80012,29605,80894,97219,73065,29050,48006,21473,8569,49741,346162,270249,9131,48371,147815,46598,20225,15102,56371,43553,75952,74341,76970,104428,24178,514,3782,1663,1846,614,24743,4371,22634,16388,1273
2015-08-16,3807,6036,244089,4785,4413,1700644,28900,11887,56342,87659,83464,35054,85089,100448,82029,40842,56213,23800,11135,66928,372811,316564,8657,54066,161274,52023,28008,13327,57231,61909,27185,84834,71241,118766,27743,483,3547,1775,1879,655,25254,4138,23567,16874,1468
2015-08-17,4263,6157,283711,5375,4697,1827817,35802,14277,81870,84965,83634,32504,99777,103772,82843,32810,74615,83673,11548,63635,350627,338329,7442,52293,163205,53672,45634,14128,56609,64952,78753,65390,58237,95309,23963,627,4605,2068,2782,1539,24728,3381,28081,15675,1591
2015-08-18,3861,6485,285272,5339,4619,1894980,39203,15011,98754,90096,81893,33042,91917,115010,74276,34674,65478,46812,11160,47624,327808,294010,7138,47770,146810,50668,26620,14149,43539,63027,21099,59185,56580,88299,22978,679,4700,2212,2997,1716,24655,2891,28311,16246,1712
2015-08-19,4427,6656,277672,5626,4252,1892719,45653,14522,98185,89243,74432,31837,79865,97799,67016,26650,54401,29154,9767,44220,291412,233816,7601,46519,142792,45531,21312,12957,39373,54140,23434,52832,54396,99116,22377,651,4434,2229,2919,1675,22178,2747,25847,15382,1518
2015-08-20,4035,6337,280788,5710,4085,1880362,35645,13560,91694,84146,63745,27932,67438,88182,71495,29877,64699,20114,9290,51277,291915,168637,8430,44494,153557,44491,20088,12211,37066,44853,36884,46396,47419,73578,22171,629,4400,2119,2940,1591,20052,2453,19885,12582,1265
2015-08-21,3451,5981,238991,4831,4071,1848953,32461,13368,79143,75783,69472,30148,73944,93943,90333,28145,53064,21280,10598,42231,279837,143420,8901,44362,152591,44769,19032,12376,37236,45100,20528,63725,54140,84960,24645,698,4033,5823,2423,1401,24087,2310,21206,13492,1325
2015-08-22,3376,5697,93260,4561,3554,1736061,28024,12917,59828,68939,73323,30236,74486,90730,80724,22754,42955,19284,8023,38369,275676,154706,6994,48198,144987,40212,20566,11756,41492,45593,22047,62514,73508,126889,33224,465,3177,1766,1748,579,24789,2811,23634,16949,1380
2015-08-23,3707,6116,92966,4783,3993,1792631,32861,15859,70191,94261,78484,32375,81296,112559,82172,27336,52408,20515,9517,59744,304452,170364,5959,56063,153999,50002,24473,14042,41757,51967,23327,89831,69904,158882,31931,432,3264,1601,1748,592,26218,3046,23380,17072,1565
2015-08-24,4157,6614,135192,5686,4456,1940592,39254,17412,99893,109847,85951,34471,83608,104875,86800,26443,62333,21291,9284,66705,275946,136741,6907,52715,148505,63304,25054,15685,40425,54358,18246,74386,60648,119811,33042,797,4347,2082,2799,1544,25627,2496,22648,17126,1656
2015-08-25,4007,6554,137912,5472,4321,1994749,43855,19762,126706,112396,87787,33922,81955,103155,79953,38171,58665,20764,8877,50129,270720,96619,6736,49812,156194,51046,20496,13533,39945,45869,17060,55555,53706,124238,28079,795,4543,2137,2887,1686,25069,2253,22421,15830,1799
2015-08-26,4119,6446,130088,5276,4180,1989165,45423,20458,138437,123462,77778,33357,84219,96999,74877,27033,55379,18484,8178,43235,250221,113585,6963,50009,136488,48256,19844,13116,36993,48984,18936,53647,58313,124419,27050,766,4661,2054,2879,1695,24580,2292,21377,16077,1747
2015-08-27,4630,6093,128109,5367,4641,1957765,44392,19524,133818,117958,73902,33593,83219,97640,73399,24155,53097,19309,8714,43506,258128,83674,7266,47415,126055,46038,26943,15214,37566,48254,16518,45463,64792,141967,34351,555,4301,1974,2864,1578,25499,2053,21646,15589,1912
2015-08-28,4035,6314,116912,5134,4032,1843652,37368,16183,100010,100501,74882,32971,81568,96082,73617,23456,49899,18482,8137,46902,267339,91079,7453,47553,121108,45897,31168,12234,39898,42173,17400,66184,78106,127504,38189,530,4294,2143,2716,1401,25422,2167,22235,17245,1900
2015-08-29,3474,5797,87592,4588,3623,1734389,30265,14548,66791,80821,79955,32437,92274,96327,68902,21598,43064,18763,7056,43203,257330,139261,7392,54489,151487,60329,36076,12220,47724,40365,25185,65714,80370,143164,36504,355,3051,1721,1845,614,26184,2471,25624,23683,1526
2015-08-30,3490,5798,91746,4630,3775,1825157,43314,18624,91230,122274,89576,34749,86464,108463,72814,26180,49996,22498,8451,55954,282454,165485,8200,57894,158565,52268,34329,12760,49781,46912,22944,61082,74576,145180,33559,324,3160,1879,1717,547,25447,5010,27717,19658,1763
2015-08-31,4255,7389,134587,5403,4538,1974334,48422,17843,124486,123909,83737,33176,85102,100938,70216,27742,51212,22221,9200,59855,271115,148331,7432,58199,203847,59761,21260,13572,40215,47367,18831,49323,61707,128014,29027,429,4016,2200,2504,1433,22074,10612,27126,17794,1686
2015-09-01,5222,7256,170566,5438,4527,2005515,50780,17669,139657,134448,70988,30776,80411,91917,65777,36080,52332,20197,9342,51721,265218,107823,8490,51147,145457,47972,21895,13265,41804,44030,17651,45749,55119,131173,31288,534,4638,2014,2825,1626,27206,2069,24595,17333,1525
2015-09-02,5914,7349,264828,5451,4617,1990593,53651,18172,141511,129849,72516,38584,96627,106656,75491,39657,54030,19752,8511,47580,266219,103969,8469,50381,137568,49014,21128,14298,42599,54108,16249,49607,58154,116468,25132,518,4365,2429,2861,1619,36503,1918,23014,17172,1637
2015-09-03,4890,7028,264826,5616,4218,1976805,52814,17626,133415,124235,72372,39762,100852,105042,78325,38793,53900,19618,7880,46318,275940,98154,10625,54275,136902,40852,25321,14926,41605,46622,18131,65192,53807,114583,23552,566,4722,2061,2919,1646,30872,1975,26589,18059,1539
2015-09-04,4283,7043,245369,5164,4119,1870038,42927,18378,105277,100674,76840,39245,94610,107656,71118,43434,52824,18901,7769,72018,273428,97904,10549,51803,133973,40540,22102,14321,42483,54619,19776,56925,59591,106158,28640,543,4333,1970,2689,1428,26131,1803,23047,16938,1359
2015-09-05,4176,6441,216019,5043,3894,1756634,33637,14085,73498,82046,89354,38453,85683,111190,68555,34112,50414,18214,8530,152687,282047,122384,8157,57043,149664,42017,24130,16870,79492,59846,19926,57105,66632,148693,39535,423,3613,1703,1967,624,27975,1934,23671,18566,1521
2015-09-06,4200,7332,219382,5601,4084,1817351,41699,17708,95353,99354,102393,46521,98645,127652,80573,34675,55357,22086,9638,86235,315323,136997,7625,61833,159190,47730,25140,19197,56526,63684,20760,68695,70113,133743,34312,367,3400,1789,1972,594,27479,1937,27828,17813,1537
2015-09-07,4746,6882,259402,5964,4388,1973120,50630,19844,124188,127137,81165,45591,98952,114756,72485,34555,58323,20929,8334,86355,345554,165225,7884,64510,162922,41216,22501,15932,50493,62227,19725,48095,55635,119137,26745,439,4223,2120,2495,1202,23923,1798,26889,18485,1621
2015-09-08,5180,6389,270080,5819,4368,1989197,52549,20072,135973,131923,78610,49578,145478,121682,73506,43685,58749,22319,7935,66545,292596,121683,9814,59967,137050,38692,22457,15477,45428,53054,17584,61544,53528,105916,24799,498,5810,2638,2822,1769,22347,1472,25026,16904,1702
2015-09-09,4321,6670,252614,5648,4357,1978147,52749,17582,134825,133177,75025,107642,152582,113331,73672,51220,54388,19143,8044,52871,270637,83230,9740,57030,135506,45741,22939,16752,47830,52923,18556,54299,54396,102276,25068,483,4761,2010,2849,1615,21184,1681,20102,16375,1599
2015-09-10,4418,6414,214254,5712,4376,1934783,52073,16316,122538,120902,76234,65164,117919,108610,70271,47418,53751,19304,8217,61335,292487,67455,13757,65755,127163,49298,26010,15600,44281,46344,14952,41647,47745,91217,24243,482,4208,2080,2835,1683,19576,1528,21089,15694,1350
2015-09-11,4300,6727,203281,5477,4142,1842619,42980,16016,93731,96574,73305,52410,158423,105933,68115,103363,55549,19552,7774,47095,306705,63864,12119,73858,126813,60234,20643,13915,45618,43013,17482,44249,66575,111576,24286,520,4171,2019,2860,1460,21822,1443,20062,15597,1263
2015-09-12,3950,6448,131038,4819,4067,1739349,33667,13227,63868,76058,83282,50190,106997,112531,66047,42901,46686,18333,7700,60904,262168,79611,7977,63309,140215,52390,24847,15853,55352,60980,18179,49785,68436,98543,27442,328,3000,1354,2186,590,23835,1957,20985,15677,1435
2015-09-13,4049,5669,96274,4927,4121,1777949,39282,14793,80096,92919,100020,75763,110964,117374,111541,69608,66334,20900,10898,74247,357245,89564,8057,109095,155063,55745,32679,17626,85204,86043,19071,48512,65979,110878,26245,329,3551,1463,2749,675,28995,2197,19556,19320,1373
2015-09-14,4453,6410,135949,5848,4403,1904426,49271,16601,106376,111388,83700,64750,108622,113103,92413,54345,62458,20884,8815,79544,331842,63863,8946,68638,141240,45645,28821,15373,49854,55462,15932,42998,57000,90105,37004,482,5266,2010,3518,1562,28672,1910,18775,15528,2144
2015-09-15,5467,6063,139893,5870,4349,1887806,48667,16262,102364,103356,81928,51954,101149,113380,90261,46819,57871,23422,9942,54259,282779,50842,11935,67679,133471,45620,27585,16221,52847,51168,16427,39722,59665,107082,28103,563,5479,2455,4227,1711,21338,1661,23055,15045,1777
2015-09-16,4540,6214,139063,5800,4513,1856552,50114,15334,98683,97783,79380,52221,101206,369910,85613,35985,57091,25532,9011,46413,276472,46845,12265,65391,132434,50908,25715,17452,47505,55326,16903,40888,51473,89074,27494,593,5540,2375,4587,1688,20152,1757,28343,15056,1555
2015-09-17,4310,5690,135949,6109,4586,1909105,52865,15101,116669,109662,78336,48678,101324,553918,81585,33354,56217,22798,15618,48609,314940,42021,15598,57894,165218,47812,23611,16147,46653,50420,16763,41264,58355,93320,27101,547,5009,2399,3184,1681,18848,2009,28297,15323,1568
2015-09-18,5274,6510,128496,5829,4348,1816521,44569,13030,93189,97914,75898,46425,93086,687065,75847,39179,53841,38388,9042,47199,389368,42196,10461,64601,158164,53828,25443,13619,45774,50751,16897,46244,65366,84533,23279,509,4696,2418,4406,1590,19165,2297,24341,14192,1351
2015-09-19,3894,6357,91503,5033,3943,1702540,40826,13053,64865,80685,99107,39023,84263,686493,77046,50999,48995,40937,8661,45014,259965,52908,7842,58644,159339,51093,25211,14027,46217,47658,20497,57230,66459,90091,23617,565,4583,2175,5439,722,24313,2533,21901,16973,1444
2015-09-20,4080,6507,98378,5261,4238,1783163,52661,14954,82291,102012,100523,45969,106861,734789,90684,64789,63610,54729,9623,67728,295185,57928,8007,103390,169871,53043,25022,19820,53884,54401,17160,60863,59339,95945,24473,357,3496,1790,3381,657,23338,2823,21740,19228,1669
2015-09-21,4423,6376,143081,5652,4576,1950650,61091,17301,114324,124126,92945,46999,105381,690263,83281,38195,58020,27208,10484,74377,278331,41546,9406,100474,151723,47014,21495,16684,53604,48378,19689,70353,64790,142228,27647,621,5631,2517,4815,1655,21158,2012,22138,15694,1872
2015-09-22,4774,6421,148681,5883,4533,1971170,67686,18490,131257,129824,80523,47754,98088,696661,81489,46150,58771,23986,10567,54267,257996,33329,10247,89101,137266,45186,24277,15936,43441,49700,20593,77412,66416,114890,29447,474,4657,2192,4651,1669,22510,2062,21327,15471,1796
2015-09-23,4368,6611,138995,5553,4367,1969275,74326,18686,129246,129507,78523,44802,96080,703217,79857,50020,57960,25221,9148,47501,265491,32022,9733,68519,132953,46118,20140,17447,43377,50272,22345,113126,87112,129643,37758,522,4487,2423,2836,1695,23151,1779,25492,14790,1709
2015-09-24,4196,6530,142413,5764,4458,1912765,67061,19400,117741,112050,77596,44099,95137,596827,78080,44756,55702,24763,9971,42447,249688,28545,11640,64610,139889,44254,21743,14443,39276,49537,17492,57338,61003,97045,28702,447,4551,2126,2811,1624,22228,2006,22894,14870,1509
2015-09-25,4189,7181,132603,5487,4332,1820481,61756,19816,87544,94170,78786,41112,96352,612505,76359,40519,56195,34739,15432,51215,282964,39887,11147,61297,150711,41464,20127,13946,38014,47858,24275,45843,71107,143037,27573,473,4687,2084,2803,1548,21066,2471,21184,14231,1434
2015-09-26,3929,6481,96156,4915,4043,1737930,58661,16564,68338,83991,75451,50999,89345,602355,70778,34896,48931,22762,11900,43811,329904,37018,9118,60459,145998,43872,20074,16448,47503,52227,28830,50137,73127,116147,29133,435,3848,1718,2224,753,24533,2263,19514,21183,1260
2015-09-27,4535,6343,85244,5281,4068,1813272,66010,18567,93081,102117,84836,50412,113791,601830,89534,35966,57779,25951,11225,66313,329192,36717,9655,71125,155057,48606,22200,20408,61939,59451,30393,68025,72788,109277,32048,391,3839,1885,2075,744,25989,2539,17460,19985,1428
2015-09-28,4638,6483,128174,6868,4570,1980153,65965,19835,121583,127498,79151,48844,102679,618112,83765,26863,60195,31865,15324,86078,367450,27331,11477,71878,135179,45144,20277,18555,49328,61088,24745,59231,66693,102123,43012,535,4890,2269,2811,1534,27959,2616,27256,21135,1956
2015-09-29,4820,6020,130061,7779,4675,1992495,67273,19606,135251,127911,81570,50242,96729,632108,81202,38861,57572,31898,11285,58967,285578,23033,10986,87465,129645,41830,19283,18579,47660,49391,23231,42993,58326,89811,32534,539,4920,3228,2891,1854,27257,2357,29247,18679,2301
2015-09-30,4775,6062,134043,7398,4324,1994766,60774,18438,142381,125389,78906,45677,100178,554551,78009,28577,55774,24751,9027,43998,265187,22172,9852,62491,129642,47716,32860,18645,56056,51243,27478,39804,65170,83136,34461,567,6047,3502,3027,2928,21662,1720,21585,16092,1895
2015-10-01,5020,6212,128744,8156,4721,1946714,58020,18582,134448,118094,75719,42275,95609,409355,80399,25857,52496,28799,8710,42352,310739,21185,9679,59026,126470,43954,22458,17473,48198,45621,20751,39108,67816,100833,35216,538,5182,2439,2865,1953,22084,2424,22775,18387,1732
2015-10-02,4658,6159,119740,9059,4570,1917820,45872,17500,104527,100121,73234,45610,95242,521277,79377,24563,49260,37883,7994,46505,346309,22167,8261,58051,213475,41315,18503,15628,42697,44164,17248,41994,59214,104920,32104,506,5192,2286,2999,1753,21269,2697,21886,17317,1481
2015-10-03,4372,5872,86751,7681,4241,1756298,37288,15968,72917,81585,71490,52379,89983,453846,78297,79476,59010,48144,8926,53914,301427,26833,6584,58438,130050,45992,19665,16575,50601,47703,20937,61192,73656,146687,33061,332,3363,1865,1953,840,24507,3062,20752,21030,1896
2015-10-04,4463,5915,94000,7559,4352,1800430,45865,17044,94174,104552,82307,51577,101739,475839,102227,39234,59904,61194,9495,62989,434526,28671,7244,69819,269732,55977,23172,20333,58258,56042,25412,62173,94811,137435,34671,371,3673,1957,2118,903,27378,2857,21540,22600,2018
